organism,year,location,density_habitat,CI
Mounding Corals,2009,Rarotonga,19.5,3.5
Coarse-branching Corals,2009,Rarotonga,2.8,0.5
Fine-branching Corals,2009,Rarotonga,2.2,0.9
Sea Anemones,2009,Rarotonga,1,0.1
Algae,2009,Rarotonga,1.7,0.8
Mounding Corals,2009,Aitutaki,14.5,3.5
Coarse-branching Corals,2009,Aitutaki,3.2,0.5
Fine-branching Corals,2009,Aitutaki,2.5,0.9
Sea Anemones,2009,Aitutaki,1.8,0.1
Algae,2009,Aitutaki,0.8,0.8
Mounding Corals,2018,Rarotonga,18,3.5
Coarse-branching Corals,2018,Rarotonga,0.7,0.5
Fine-branching Corals,2018,Rarotonga,0.3,0.9
Sea Anemones,2018,Rarotonga,0.5,0.1
Algae,2018,Rarotonga,5.5,0.8
Mounding Corals,2018,Aitutaki,15.9,3.5
Coarse-branching Corals,2018,Aitutaki,2.4,0.5
Fine-branching Corals,2018,Aitutaki,3.2,0.9
Sea Anemones,2018,Aitutaki,0.9,0.1
Algae,2018,Aitutaki,0.4,0.8
